Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
2602;Masameer Classics;A través de la comedia oscura y los personajes excéntricos, esta serie web ofrece una visión humorística de los cambios y los cambios culturales en Arabia Saudita desde 2011-2019.;International TV Shows, TV Comedies;Malik Nejer, Abdulaziz Alshehri;;Saudi Arabia;December 9, 2020;2013;TV-14;;4 SEASONS;8.2
2603;Once Upon a Time;Luchando por salvar la mansión de sus antepasados ??de la demolición, Youssef desempaqueta una serie de historias de amor que tuvieron lugar allí con un periodista.;International TV Shows, Romantic TV Shows, TV Dramas;Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif;;Egypt;December 9, 2020;2019;TV-14;;1 SEASON;8.1
2604;Rose Island;Un ingeniero idealista construye su propia isla frente a la costa de Italia y lo declara una nación, llamando la atención del mundo y del gobierno.;Comedies, Dramas, International Movies;Elio Germano, Matilda De Angelis, Tom Wlaschiha, Luca Zingaretti, Fabrizio Bentivoglio, Leonardo Lidi, François Cluzet;Sydney Sibilia;;December 9, 2020;2020;TV-14;119;;7.1
2605;The Big Show Show;El ex luchador de la WWE, The Big Show, está fuera del ring y está listo para un desafío aún más duro: criar tres hijas con su esposa en Florida.;Kids' TV, TV Comedies;Paul Wight, Allison Munn, Reylynn Caster, Lily Brooks O'Briant, Juliet Donenfeld;;United States;December 9, 2020;2020;TV-G;;2 SEASONS;6.2
2606;The Expanding Universe of Ashley Garcia;La científica de 15 años Ashley García explora la gran desconocida de la teenda moderna después de mudarse en todo el país para seguir una carrera en robótica.;Kids' TV, TV Comedies, Teen TV Shows;Paulina Chávez, Jencarlos Canela;;United States;December 9, 2020;2020;TV-PG;;3 SEASONS;6.9
2607;The Surgeon's Cut;Son filósofos, narradores y pioneros en sus campos. Cuatro cirujanos reflexionan sobre sus vidas y profesiones en esta inspiradora docuserías.;Docuseries, Science & Nature TV;;;United States;December 9, 2020;2020;TV-14;;1 SEASON;8.5
2608;André & his olive tree;Mientras se prepara para cerrar su restaurante, el chef con estrellas Michelin, André Chiang, se embarca en un viaje personal y emocional de reflexión.;Documentaries, International Movies;André Chiang;Josiah Ng;;December 9, 2020;2020;TV-PG;104;;6.8
2609;Bobbleheads The Movie;Un equipo de bobbleheads se une para defender la casa de su coleccionista cuando los familiares no invitados van a buscar robar de su preciada colección.;Children & Family Movies, Comedies;Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher;Kirk Wise;;December 9, 2020;2020;PG;83;;2.4
2610;Emicida: AmarElo - It’s All For Yesterday;Entre escenas de su concierto en el municipal de São Paulo, el rapero y activista Emicida celebra el rico legado de la cultura brasileña negra.;Documentaries, International Movies, Music & Musicals;Emicida;;Brazil;December 8, 2020;2020;TV-MA;90;;8.4
2611;Juman;A pesar de sus familias separadas, Juman y Hisham se enamoran y se casan, pero sus diferentes perspectivas en la vida pronto amenazan su relación.;International TV Shows, Romantic TV Shows, TV Dramas;Nour Al Ghandour, Muhanad Al-Hamdi, Huda El Khateib, Hassan Ibrahim, Abdullah Al-Turkumani, Nasser Kermani, Foaz Al -Shatti, Muhammad Al Dousari, Ahmed El Hozeem, Ghorour, Fatma Al Tabbakh;;Kuwait;December 8, 2020;2019;TV-PG;;1 SEASON;5.1
2612;Mr. Iglesias;El hilarante maestro de secundaria Gabriel Iglesias intenta marcar la diferencia en la vida de algunos estudiantes inteligentes pero influyentes en su alma mater.;TV Comedies, Teen TV Shows;Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Richard Gant, Cree Cicchino, Fabrizio Guido, Oscar Nuñez;;United States;December 8, 2020;2020;TV-14;;3 SEASONS;7.2
2613;Spirit Riding Free: Ride Along Adventure;Únete a Lucky y a sus amigos en una misión interactiva para salvar a la querida yegua de Maricela de los codiciosos ladrones de caballos que la han llevado cautivo con un rebaño salvaje.;Children & Family Movies;Amber Frank, Bailey Gambertoglio, Sydney Park, Katey Sagal, Rachel Kimsey, Darcy Rose Byrnes, Duncan Joiner, Bella Aboulhosn, Kai Scott;Beth Sleven, Allan Jacobsen, Kevin Wotton;;December 8, 2020;2020;TV-Y7;79;;6
2614;Super Monsters: Santa’s Super Monster Helpers;Cuando Santa necesita ayuda de gran ayuda para preparar todos sus regalos, los Super Monsters le prestan una mano, y algo de magia de monstruos, para que cada regalo a tiempo salga a tiempo.;Children & Family Movies;Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Rukiya Bernard, Asia Mattu, Elicia MacKenzie;Steve Ball;;December 8, 2020;2020;TV-Y;24;;5.1
2615;100 Days My Prince;Al perder su memoria, un príncipe heredero se encuentra con la vida de un plebeyo y experimenta un amor inolvidable como el esposo de la soltera más antigua de Joseon.;International TV Shows, Romantic TV Shows, TV Dramas;Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee;;South Korea;December 7, 2020;2018;TV-14;;1 SEASON;7.8
2616;Ava;Un asesino de élite lucha con dudas sobre su trabajo se revuelve para protegerse, y su familia separada, después de que un golpe sale peligrosamente mal.;Action & Adventure, Dramas;Jessica Chastain, Colin Farrell, John Malkovich, Common, Geena Davis, Jess Weixler, Diana Silvers, Joan Chen, Ioan Gruffudd;Tate Taylor;;December 7, 2020;2020;R;97;;5.3
2617;Room 2806: The Accusation;Esta docuseries sigue al caso de agresión sexual de 2011 que involucra al político francés Dominique Strauss-Kahn en el apogeo de su carrera.;Crime TV Shows, Docuseries, International TV Shows;;Jalil Lespert;France;December 7, 2020;2020;TV-MA;;1 SEASON;6.9
2618;Detention;Una estudiante atormentada descubre secretos inquietantes en su remota escuela secundaria como traición y un encuentro paranormal que cambia su vida.;International TV Shows, TV Dramas, TV Horror;Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han;Su I-Hsuan, Chuang Shiang-an, Liu Yi;;December 7, 2020;2020;TV-MA;;1 SEASON;6.1
2619;Mighty Express: A Mighty Christmas;El Mighty Express da la bienvenida a un nuevo tren y se acelera en una tormenta de nieve para entregar los regalos de Santa y salvar la Navidad para todos los niños en Tracksville.;Children & Family Movies;Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Schombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin, Gracen Daly;Clint Butler;;December 7, 2020;2020;TV-Y;26;;4.7
2620;Bhaag Beanie Bhaag;Enfrentando a los padres de desaprobación, una vida amorosa nudosa y su propio crítico interno, un aspirante cómico abandona su vida cómoda pero insatisfactoria para perseguir el stand-up.;International TV Shows, Romantic TV Shows, TV Comedies;Swara Bhasker, Dolly Singh, Ravi Patel, Varun Thakur, Mona Ambegaonkar, Girish Kulkarni;;India;December 4, 2020;2020;TV-MA;;1 SEASON;4.1
2621;Captain Underpants Mega Blissmas;La Navidad se vuelve extraña, realmente extraña, después de que George y Harold regresan en el tiempo para cambiar algunas de las tradiciones de sus queridas vacaciones.;Children & Family Movies, Comedies;Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jim Cummings, Jorge Diaz;Erik Kling, Kevin Peaty;;December 4, 2020;2020;TV-Y7;46;;5.4
2622;Christmas Crossfire;Un hombre frustra un intento de asesinato, luego huye de la tripulación de posibles asesinos junto con su objetivo previsto como una mujer que acaba de conocer intenta encontrarlo.;Comedies, International Movies, Thrillers;Kostja Ullmann, Alli Neumann, Sascha Alexander Gersak, Sophia Thomalla, Merlin Rose, Detlev Buck, Peter Kurth, Anika Mauer, Frederic Linkemann, Bernd Hölscher;Detlev Buck;;December 4, 2020;2020;TV-MA;106;;5
2623;Kings of Jo'Burg;Los hermanos Masire dicen el inframundo criminal de Johannesburgo, pero una maldición familiar sobrenatural y una red de traición enredada amenazan con destruirlos.;Crime TV Shows, International TV Shows, TV Dramas;Shona Ferguson, Zolisa Xaluva, Tsholofelo Matshaba, Sello Sebotsane, Buhle Samuels, Thembi Seete, TK Sebothoma, Cindy Mahlangu, Lunathi Mampofu, Abdul Khoza, Connie Ferguson;;South Africa;December 4, 2020;2020;TV-MA;;1 SEASON;5.2
2624;Leyla Everlasting;Una ama de casa resistente, su esposo y su terapeuta matrimonial se sumergen en un triángulo amoroso tóxico y un complot para obtener un manuscrito antiguo.;Comedies, International Movies;Demet Akba?, Haluk Bilginer, Elçin Sangu, F?rat Tan??, Alican Yücesoy, Emre K?v?lc?m, Hakan Eke, ?hsan Ceylan, Bimen Zartar;;Turkey;December 4, 2020;2020;TV-MA;113;;3.6
2625;MANK;"La década de 1930 Hollywood se reevalúa a través de los ojos del ingenio mordaz y el guionista alcohólico Herman J. Mankiewicz mientras corre para terminar ""Citizen Kane"".";Dramas, Independent Movies;Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann;David Fincher;;December 4, 2020;2020;R;133;;6.7
2626;You Are My Home;Después de separarse de su familia, una joven se encuentra al cuidado de una mujer con el corazón roto que enfrenta sus propias luchas.;Children & Family Movies, Dramas;Alyssa Milano, Angel Parker, Cristián de la Fuente, Eva Ariel Binder, Joel Steingold;Amanda Raymond;;December 4, 2020;2020;TV-PG;93;;6.4
2627;Between Maybes;Una ex actriz hace un viaje a Japón, donde conoce a un joven que proporciona un escape de la realidad y la hace considerar una forma de vida diferente.;Dramas, International Movies, Romantic Movies;Gerald Anderson, Julia Barretto, Yayo Aguila, Christian Vazquez;Jason Paul Laxamana;;December 4, 2020;2019;TV-14;108;;6.1
2628;Break;Después de un grave accidente, Lucie intenta redescubrir a sí misma como bailarina y conoce a Vincent, un talentoso B-Boy que lucha contra sus propias inseguridades.;Comedies, Dramas, International Movies;Sabrina Ouazani, Kévin Mischel, Hassam Ghancy, Slimane, Maxime Pambet, Camille Japy, Christophe Reymond;Marc Fouchard;;December 4, 2020;2018;TV-MA;96;;5.6
2629;Chico Bon Bon and the Very Berry Holiday;La fuerza Fix-It hace un plan para golpear cada hogar lo más rápido que puedan, entregando pasteles de mariquillo antes de que la ciudad se despierte para evitar un desastre de vacaciones.;Children & Family Movies;Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Emma Sloan Jacobs, Joanna Lewis, Matt Mercer, Ian Nikus;Darragh O'Connell;;December 3, 2020;2020;TV-Y;25;;5.9
2630;Just Another Christmas;Atrapado en un bucle de tiempo donde es una Navidad para siempre, un hombre de familia que odia las vacaciones comienza a aprender lecciones valiosas sobre lo que es importante en la vida.;Comedies, International Movies;Leandro Hassum, Elisa Pinheiro, Danielle Winits, Louise Cardoso, Rodrigo Fagundes, Arianne Botelho, Miguel Rômulo, José Rubens Chachá, Levi Ferreira, Daniel Filho;Roberto Santucci;;December 3, 2020;2020;TV-MA;101;;6.8
2631;Must Be... Love;Cuando una adolescente desarrolla sentimientos románticos por su mejor amiga de la infancia, se encuentra cambiando sus formas de conquistarlo.;Comedies, Dramas, International Movies;Kathryn Bernardo, Daniel Padilla, Liza Soberano, John Estrada, John Lapus;Dado C. Lumibao;;December 3, 2020;2013;TV-14;106;;6.6
2632;Alien Worlds;Aplicando las leyes de la vida en la Tierra al resto de la galaxia, esta serie combina el hecho de la ciencia y la ficción para imaginar la vida alienígena en otros planetas.;British TV Shows, Docuseries, International TV Shows;;;United Kingdom;December 3, 2020;2020;TV-PG;;1 SEASON;6.4
2633;Ari Eldjárn: Pardon My Icelandic;En este especial en inglés, el comediante islandés Ari Eldjárn se burla de las rivalidades nórdicas, la versión de Hollywood sobre Thor, los caprichos de los niños pequeños y más.;Stand-Up Comedy;Ari Eldjárn;August Jakobsson;;December 3, 2020;2020;TV-MA;54;;7.9
2634;Check The Store Next Door: The Next Chapter;Cuando un ex propietario de una tienda se aburre de la jubilación, compra un estanque de pescado y administra las nuevas hielos en su vida con un personal de empleados extravagantes.;International TV Shows, TV Comedies, TV Dramas;Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong;;Indonesia;December 2, 2020;2020;TV-14;;2 SEASONS;7.6
2635;Fierce;Un joven cantante talentoso se convierte en una sensación instantánea en un popular espectáculo de talentos. Pero su verdadero objetivo es ganar el amor de su padre, un miembro del jurado.;Comedies, Dramas, International Movies;Katarzyna Sawczuk, Maciej Zako?cielny, Anita Soko?owska, Julia Kami?ska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, Micha? Piprowski, Urszula Dudziak, Krzysztof Ibisz;Anna Wieczur-Bluszcz;;December 2, 2020;2020;TV-MA;118;;5.4
2636;Hazel Brugger: Tropical;En este especial de pie, el comediante Hazel Brugger ofrece sus vistas de gansos rebeldes, ginecólogos habladores, préstamos bancarios alemanes y más.;Stand-Up Comedy;Hazel Brugger;;Germany;December 2, 2020;2020;TV-MA;58;;6.1
2637;Angela's Christmas Wish;Con su padre trabajando lejos en Australia, una determinada Angela hace un plan, y un deseo sincero, reunir a su familia a tiempo para las vacaciones.;Children & Family Movies;Lucy O'Connell, Brendan Mullins, Ruth Negga, Lola Metcalfe, Jared Harris, Moe Dunford, Oscar Butler, Shona Hamill, Pat Kinevane, Janet Moran, Anya O'Connor;Damien O’Connor;;December 2, 2020;2020;TV-Y;48;;6.9
2638;Effie Gray;Atrapado en un matrimonio sin amor, la joven esposa del crítico de arte de la era victoriana John Ruskin se encuentra enamorada de un artista y busca una salida.;Dramas, International Movies, Romantic Movies;Dakota Fanning, Emma Thompson, Julie Walters, David Suchet, Derek Jacobi, James Fox, Robbie Coltrane, Claudia Cardinale, Greg Wise, Tom Sturridge;Richard Laxton;;December 2, 2020;2014;PG-13;109;;5.8
2639;Gormiti;Cuatro amigos se convierten en guardianes de la isla Gorm y deben aprovechar los poderes de los elementos para evitar que un Señor malvado y su ejército gobiernen el reino.;Kids' TV;Dermot Arrigan, Jenny Beacraft, Stephanie Figueira, Ella Galt, James Giblin, Noah Levin;;Spain, Italy;December 1, 2020;2018;TV-Y;;1 SEASON;5
2640;Ink Master;Diez de los artistas de tatuajes más hábiles del país compiten por $ 100,000 y el título de Ink Master en esta competencia de eliminación de alto riesgo.;Reality TV;Dave Navarro, Chris Nuñez, Oliver Peck;;United States;December 1, 2020;2014;TV-14;;2 SEASONS;7.5
2641;Monster House;Un trío de amigos se propone exponer los terrores de una casa de vecindario vacante, que parece tener un antojo por las personas y una vida propia.;Children & Family Movies, Comedies;Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James;Gil Kenan;;December 1, 2020;2006;PG;91;;6.5
2642;Natalie Palamides: Nate - A One Man Show;Tough Talk toma un giro suave como Nate, interpretado por la comediante Natalie Palamides, explora el humor, la angustia, la sexualidad y el consentimiento, con una audiencia en vivo.;Comedies;Natalie Palamides;Phil Burgers;;December 1, 2020;2020;TV-MA;60;;6.6
2643;Octonauts;Un equipo de valientes exploradores submarinos conocidos como Octonauts peina los océanos del mundo para las criaturas acuáticas que necesitan ayuda desesperada.;British TV Shows, Kids' TV;Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth;;United States, Ireland, United Kingdom;December 1, 2020;2015;TV-Y;;4 SEASONS;7.5
2644;Oddbods;Siete amigos peludos y coloridos que viven en el pequeño pueblo de Oddsville les gusta jugar, tienen aventuras y entran en todo tipo de travesuras creativas.;Kids' TV, TV Comedies;Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi;;United Kingdom, Singapore;December 1, 2020;2020;TV-Y;;1 SEASON;6
2645;Stargate SG-1;El comando Stargate ruge en acción cuando Jack O'Neill y su tripulación encuentran un mapa de Stargates que les permite combatir maniobras alienígenas en toda la galaxia.;Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy;Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones;;United States, Canada;December 1, 2020;2006;TV-MA;;10 SEASONS;8.4
2646;The Guest;Unidos por un pasado trágico, un psíquico, un sacerdote y un detective unen fuerzas para derribar un poderoso espíritu impulsado por la sangre de sangre.;International TV Shows, TV Dramas, TV Horror;Kim Dong-wook, Kim Jae-uk, Jung Eun-chae, Ahn Nae-sang, Lee Won-jong, Park Ho-san;;South Korea;December 1, 2020;2018;TV-MA;;1 SEASON;8.2
